ni,x,y,z,active,is_top
472,523539.068859,775225.744082,-2000.0,True,False
473,523747.402192,775586.588,-2000.0,True,False
474,523955.735526,775947.431918,-2000.0,True,False
475,524164.068859,776308.275836,-2000.0,True,False
476,524372.402192,776669.119755,-2000.0,True,False
477,524580.735526,777029.963673,-2000.0,True,False
478,524789.068859,777390.807591,-2000.0,True,False
479,524997.402192,777751.651509,-2000.0,True,False
480,525205.735526,778112.495428,-2000.0,True,False
481,525622.402192,778834.183264,-2000.0,True,False
482,526455.735526,780277.558937,-2000.0,True,False
483,527705.735526,782442.622447,-2000.0,True,False
484,529372.402192,785329.373793,-2000.0,True,False
485,531455.735526,788937.812975,-2000.0,True,False
486,533955.735526,793267.939994,-2000.0,True,False
487,513106.056157,758155.236006,-2000.0,True,False
488,515606.056157,762485.363025,-2000.0,True,False
489,517689.389491,766093.802207,-2000.0,True,False
490,519356.056157,768980.553553,-2000.0,True,False
491,520606.056157,771145.617063,-2000.0,True,False
492,521439.389491,772588.992736,-2000.0,True,False
493,521856.056157,773310.680572,-2000.0,True,False
494,522064.389491,773671.524491,-2000.0,True,False
495,522272.722824,774032.368409,-2000.0,True,False
496,522481.056157,774393.212327,-2000.0,True,False
497,522689.389491,774754.056245,-2000.0,True,False
498,522897.722824,775114.900164,-2000.0,True,False
499,523106.056157,775475.744082,-2000.0,True,False
500,523314.389491,775836.588,-2000.0,True,False
501,523522.722824,776197.431918,-2000.0,True,False
502,523731.056157,776558.275836,-2000.0,True,False
503,523939.389491,776919.119755,-2000.0,True,False
504,524147.722824,777279.963673,-2000.0,True,False
505,524356.056157,777640.807591,-2000.0,True,False
506,524564.389491,778001.651509,-2000.0,True,False
507,524772.722824,778362.495428,-2000.0,True,False
508,525189.389491,779084.183264,-2000.0,True,False
509,526022.722824,780527.558937,-2000.0,True,False
510,527272.722824,782692.622447,-2000.0,True,False
511,528939.389491,785579.373793,-2000.0,True,False
512,531022.722824,789187.812975,-2000.0,True,False
513,533522.722824,793517.939994,-2000.0,True,False
