ni,x,y,z,active,is_top
17288,527188.586726,770046.89445,500.0,True,False
17289,527380.894418,770379.981144,500.0,True,False
17290,527477.048264,770546.524491,500.0,True,False
17291,527573.20211,770713.067837,500.0,True,False
17292,527669.355957,770879.611184,500.0,True,False
17293,527765.509803,771046.154531,500.0,True,False
17294,527861.663649,771212.697878,500.0,True,False
17295,527957.817495,771379.241225,500.0,True,False
17296,528053.971341,771545.784572,500.0,True,False
17297,528150.125187,771712.327919,500.0,True,False
17298,528246.279033,771878.871266,500.0,True,False
17299,528342.43288,772045.414612,500.0,True,False
17300,528438.586726,772211.957959,500.0,True,False
17301,528534.740572,772378.501306,500.0,True,False
17302,528630.894418,772545.044653,500.0,True,False
17303,528727.048264,772711.588,500.0,True,False
17304,528823.20211,772878.131347,500.0,True,False
17305,528919.355957,773044.674694,500.0,True,False
17306,529015.509803,773211.218041,500.0,True,False
17307,529111.663649,773377.761388,500.0,True,False
17308,529207.817495,773544.304734,500.0,True,False
17309,529303.971341,773710.848081,500.0,True,False
17310,529400.125187,773877.391428,500.0,True,False
17311,529496.279033,774043.934775,500.0,True,False
17312,529592.43288,774210.478122,500.0,True,False
17313,529688.586726,774377.021469,500.0,True,False
17314,529784.740572,774543.564816,500.0,True,False
17315,529880.894418,774710.108163,500.0,True,False
17316,529977.048264,774876.651509,500.0,True,False
17317,530073.20211,775043.194856,500.0,True,False
17318,530265.509803,775376.28155,500.0,True,False
17319,530650.125187,776042.454938,500.0,True,False
17320,531227.048264,777041.715019,500.0,True,False
17321,531996.279033,778374.061794,500.0,True,False
17322,532957.817495,780039.495263,500.0,True,False
17323,534111.663649,782038.015425,500.0,True,False
17324,535457.817495,784369.622282,500.0,True,False
17325,536996.279033,787034.315832,500.0,True,False
17326,520241.311144,758513.860168,500.0,False,False
17327,521779.772682,761178.553718,500.0,True,True
17328,523125.926529,763510.160575,500.0,True,False
17329,524279.772682,765508.680737,500.0,True,False
17330,525241.311144,767174.114206,500.0,True,False
17331,526010.541913,768506.460981,500.0,True,False
17332,526587.46499,769505.721062,500.0,True,False
17333,526972.080375,770171.89445,500.0,True,False
17334,527164.388067,770504.981144,500.0,True,False
17335,527260.541913,770671.524491,500.0,True,False
17336,527356.695759,770838.067837,500.0,True,False
17337,527452.849606,771004.611184,500.0,True,False
17338,527549.003452,771171.154531,500.0,True,False
17339,527645.157298,771337.697878,500.0,True,False
17340,527741.311144,771504.241225,500.0,True,False
17341,527837.46499,771670.784572,500.0,True,False
17342,527933.618836,771837.327919,500.0,True,False
17343,528029.772682,772003.871266,500.0,True,False
17344,528125.926529,772170.414612,500.0,True,False
17345,528222.080375,772336.957959,500.0,True,False
17346,528318.234221,772503.501306,500.0,True,False
17347,528414.388067,772670.044653,500.0,True,False
17348,528510.541913,772836.588,500.0,True,False
17349,528606.695759,773003.131347,500.0,True,False
17350,528702.849606,773169.674694,500.0,True,False
17351,528799.003452,773336.218041,500.0,True,False
17352,528895.157298,773502.761388,500.0,True,False
17353,528991.311144,773669.304734,500.0,True,False
17354,529087.46499,773835.848081,500.0,True,False
17355,529183.618836,774002.391428,500.0,True,False
17356,529279.772682,774168.934775,500.0,True,False
17357,529375.926529,774335.478122,500.0,True,False
17358,529472.080375,774502.021469,500.0,True,False
17359,529568.234221,774668.564816,500.0,True,False
17360,529664.388067,774835.108163,500.0,True,False
17361,529760.541913,775001.651509,500.0,True,False
17362,529856.695759,775168.194856,500.0,True,False
